Usuario,Seguidores,Seguidos,nroTweets,nroReTweets
cermicantabria,158,40,0,2
agostogabriela,1158,1036,8,29
ASHES_TO_LIFE,597,1880,2,1
Mariela_rmora,2238,1676,0,1
Olga__Estella,90,177,0,2
AlejandroBaroza,271,1262,0,1
CesarG_Madruga,7438,3620,0,2
felixlavilla,6290,5208,0,1
lizzhingri,649,954,0,1
g_lm,222,256,0,1
colombiaintelig,460,335,0,1
saragarciajmnz,230,506,0,1
Yanpalacioss,102,120,0,1
SgSisca,1775,1657,0,1
gemmalluch,4670,1104,0,1
CosmoCaixa,56576,466,0,1
paulpenaherrera,700,2325,0,1
IndioNecioSv,59,115,0,2
KaryCopado,222,187,0,1
Addkeen,830,1536,0,1
giulianojuan,379,813,1,0
BancaSostenible,180,229,0,1
ONGDeuskadi,3137,486,0,1
Obs_REDES,9288,2415,0,1
patextremadura,4257,1625,5,0
paisdelabeyeiro,269,167,0,2
FEACEM,965,192,0,3
RandbeeCo,187,327,0,1
CoahSustentable,1119,1209,0,2
NaturaGto,325,267,0,1
David_CCSS,1212,1309,0,3
SeResponsable,24007,42,1,0
FAOAmericas,72958,9554,2,0
PeraPedalea,258,599,0,1
SustentableUtem,54,85,0,1
signaglobal,62,114,0,1
areperatogo,122,461,0,2
silvitilon,72,264,0,1
GSKeltikhe_635,357,337,0,1
marianitapio,354,934,0,1
JorgeRo11039271,1,6,0,1
sostenibilidad,6407,573,1,0
ProfaNancy,53,550,0,1
Hdecristo,30554,8929,0,1
DesignathonEs,67,152,1,0
JavierRojas_R,285,587,1,0
husamsaif6,148,197,0,1
MODESSV,7,99,16,1
gestiondemto,4415,4979,1,0
HectorSchzStaMa,172,138,0,1
wieczasantos,18,33,0,1
JuanCar95410617,5,47,0,1
HayekNica,109,334,0,1
GPalomequeD,169,106,0,1
moisnavarro,3747,969,0,3
RisiMarcelo,945,754,0,1
jose_carballo,795,2137,4,0
RicardoAlmanza1,835,2304,0,1
Pelutxeta,44,114,0,1
Javiermonterio2,2148,897,0,2
unescoetxea,2022,729,3,6
NurietaAlvarez,448,460,0,2
GreenSquad7,121,468,0,1
BibliotecaCEPAL,5500,1278,4,1
fgarciacedeno,5504,4737,0,1
albekano_shivan,268,600,0,1
Victor_Malagon,3615,2341,0,3
mpaulita99,60,243,0,1
maribeltuiter,259,300,0,2
osvaldo_mtz_,31,89,0,1
axbecerr,68,637,0,3
forenses_uab,526,4968,0,1
EncarniRguez,936,839,0,1
SECAAcapulco,18,25,0,1
suscalvo,47,124,1,0
habrasevisto,528,1102,0,2
Jaimemat1,559,1022,0,3
noemitorollo,166,283,1,0
up_aupex,3096,884,0,4
gelivme,397,573,0,1
GloriaAguirreA,67,281,0,2
JunyentMontse,364,1177,0,1
azeta59,103,93,0,1
ricardolunaorti,210,493,0,1
Ven_GF,42,165,0,7
CCiudadanaEs,2219,1187,0,1
acostavio_,130,202,0,1
miawoeva,291,22,0,1
JYek_la,820,759,0,1
LorenaCoelhoM,137,185,0,1
robertotello11,1116,1547,0,1
gguerreroruiz,302,1021,0,2
coderdojobag,291,853,2,0
Jurquizar,83,185,1,0
katherineprad18,222,347,0,1
lauvidales,1980,1287,0,2
traviesallera,721,999,0,1
martag1477,138,106,0,1
sebas_navas_a,222,844,0,1
Openalmerida,619,817,0,1
RLostado,182,227,0,1
AznarRomera,566,225,0,1
cordovi_manuel,3,13,0,1
Carlesib1,5,66,0,1
marinaperez07,475,567,1,0
GEspiau,2158,377,0,2
Kastoro_sas,268,795,0,1
Co_Responsable,167,270,1,0
PaolaHerreraCu,223,159,0,1
ddu_10,1848,992,3,2
OriConsultingCa,32,213,1,0
emartiala,86,384,0,1
CarmenPlanas,1897,794,1,6
GlobalMarineCo1,288,684,0,1
NursingnowUy,28,30,0,2
VicpastranaStg,28,43,0,1
CfceMontevideo,170,319,0,1
MartaPolti,59,282,0,1
Cecabank_es,1208,214,2,1
meretecol,1077,3714,0,1
diegolgs,126,315,0,1
RIDM2019,389,343,0,1
JCNOGAR,21,41,0,4
PaOoBolCa,28,210,0,1
guillesantellan,899,508,0,1
fndcifuentes,25,73,0,5
OlgaVillagrasa,9,32,0,1
DiegoMJGarcia,307,345,0,1
EcocircularZF,50,55,0,2
Jekaleta,216,994,0,1
Aze1Gabriel,53,37,0,1
DeloitteCO,6857,348,1,0
portalento_,13018,1195,1,2
JOHNSCADE,1156,634,1,1
EU_ENV,68343,21934,0,1
acevedoidea,2,31,0,1
manuelgpascual,2793,3543,1,1
AlvinWeeden,17553,460,0,1
LHM_LEGAL,325,565,0,1
OPSOMS_Honduras,10084,1001,0,1
jovenesyods,424,281,0,1
kochoav,995,870,0,1
salvabionatura,55,128,0,1
MINCEX_CUBA,1095,225,1,1
LilianaZanin3,178,175,0,1
lacatedra,725,479,0,23
Improvechange,1885,743,3,1
ucatolica,55140,5710,0,1
CeipMelquiades,133,56,8,3
urbanohumano,16361,4251,0,2
lauraformacion,537,496,0,1
BcnDesignWeek,3085,390,0,1
DGobiernoCV,4658,526,0,9
sherrerav,191,226,0,1
M_Viota,174,1058,0,2
BelgasPinar,158,440,1,0
yolandabartolom,478,703,0,1
MoncasideAlvear,3064,2750,15,0
misasi13,146,245,0,1
GiovyIris,3,10,0,1
Macandrius1,18,71,0,1
UOCecoempresa,7430,2817,1,0
manuelsbpc,94,314,0,1
ANTAI_Panama,4805,1207,1,0
ItayaCabreraLo,216,210,0,19
martaberbis,377,381,1,0
OmarMartnezMa10,117,1138,0,1
RC_Espinosa,483,1997,0,1
UEprensa,1931,773,0,1
suareztelde1,54,121,0,1
CentroUrbano,19242,2050,2,0
HidrocontaSA,454,410,1,1
EcoCoWork,723,952,0,2
PSOECalatayud,77,110,0,1
IvnWilliams1,147,631,0,2
cosmoACCION,192,190,12,10
MillnDelia,47,92,0,2
Crissmedy,74,334,0,1
NadiaVelsquez,62,113,0,1
vcondes,358,76,0,1
saluden_4,1824,2106,0,1
NCCVvadelFresno,94,165,1,0
AMIQnet,1306,630,2,4
Julio_FloresC,846,1468,0,1
FundacionCepaim,6402,1089,9,2
minerva_1124,849,1244,0,1
VRIOS1972,354,466,0,1
luisjaimelopez,5630,5956,0,1
hector_otero,910,1254,0,1
CarballoCecilia,1618,1359,1,0
ConcursoDMA,292,214,1,0
SoguibaONGD,156,411,1,0
Argentina2050,1509,4263,0,2
eblida,2638,701,0,1
AmaditaLab,36342,133,1,0
blancadel,341,531,0,1
karmmenkar,128,249,0,2
stefanialat,162,134,0,2
MonikaMonterru1,14,85,0,1
canvasRSC,1455,1146,6,5
Gracemazzola,29804,11517,1,0
santi_gom,443,435,1,0
S_RafaelNebrija,180,504,1,3
jimenagonh,158,578,0,1
jlopezfernandez,2880,2972,2,0
CuevasRamon,3869,1011,1,0
PedroCContreras,72,234,0,1
yojaza,378,616,1,0
PoliticaCTMmx,4522,2873,0,1
_zazulu,532,991,0,1
jai_meg,936,809,0,1
puntosigre,11529,2216,2,0
blue_bbva,9328,2553,0,1
muniabum,495,1396,0,1
Educaixa,23574,2059,0,1
eguimauricio,958,1102,0,1
aramayuelas,2403,1426,0,3
mariaa_rondon,303,1659,1,0
Ventaja_FM,36,219,1,0
HonestStrategy,570,603,0,1
JlborauL,185,195,0,1
LetyRamirezM1,606,525,0,1
CpBernasconi,125,561,1,0
jpga63,3168,2175,0,2
silvioorofino,196,342,0,1
COPADEneuquen,2803,291,1,0
FAM_Bolivia1,608,2209,0,1
PaulOrozco,192,918,0,2
Proarbol_Col,10353,5284,1,3
ottosonnenh,53541,147,1,0
BikeRecyclingMX,157,37,1,0
kate8187,95,217,0,1
ManuelSanchezMo,138770,81896,1,1
AOlveira81,478,422,1,0
REDAInfo,74,132,1,6
Moterasecreta,716,1152,0,1
Angelica_Ruiz24,132,331,0,1
abigailrnava,149,673,0,1
amparoperis3,52,190,0,1
grupobaratz,7529,842,1,1
stvgestion,164,209,0,2
AgomeztII,1119,1076,0,1
Fwb_Hv,1666,1346,0,1
natsescobar,157,331,0,1
PeiComoVamos,8649,855,3,1
dsn,19521,293,1,0
TinoRodriguez82,1353,1232,1,0
ClassroomCrafts,3248,1105,0,1
FuturoLatinoame,611,604,1,0
rafacamu,3095,2579,2,0
SmartlyLive,242,858,2,0
MariaEstherRey,2893,405,0,1
roberto_macias_,3856,4952,0,1
PopularesMurcia,2913,1121,1,0
ruthparticipa,8484,7687,0,3
eicomunicacion,922,645,1,0
LuisitaMalaver,112,405,0,1
DVVIMSS,1798,770,0,1
ConsejeriaEducA,1318,174,0,1
valerieboop,558,659,0,2
ElisaIraisMN,112,749,0,1
roxanajaimez,724,460,0,2
eguerrerocav,493,233,0,2
MarceloVidosa,223,1399,0,1
mj_baile,4730,2014,1,0
DiverxaRedes,219,211,0,1
mantulopez,1636,2165,0,1
villalba_daniel,1691,1756,1,0
DaniellaR1,528,1563,0,3
AfroNelly,635,155,0,1
Ale_white79,70,109,0,1
SomosASEC,1178,630,0,1
noesanzg,304,503,0,1
TodosSomosNinos,41,64,0,1
albeitargarcia,21,205,1,0
pedrajasmarta,1305,663,1,4
luzmariaqupam,134,145,0,2
ady_bermudez,94,310,0,1
anselmolucio,2202,2708,0,1
ClaudioSantin6,256,1088,0,1
julian_dangelo,3319,1192,2,11
LaPazAlcaldia,5429,856,1,0
monicamendo,349,1531,0,2
ingcarlosleon,190,613,0,1
sanrodriguezme,565,306,1,0
Hazloposible,37017,6736,1,3
LucasDavidGarc3,19,33,0,1
MarianaVieyraC,222,1179,0,1
andresb0919,280,343,0,1
YRevenga,23,12,0,1
ArquitecturaEF,341,437,0,1
Pilarlgt73Pilar,10,276,0,1
alexleonnn,932,992,0,1
Lcklaudis,152,688,0,1
ValdovinosAli,181,352,0,1
camilotibasosa1,208,281,0,1
MarisaMarin_MMV,20027,10912,0,1
JesusBambague,214,917,0,1
Guerra1010A,27,2,0,1
JesusAliTabasco,17978,3312,1,2
GabiNatural,559,1001,0,1
AmgelLlamas,151,877,0,1
TEDICpy,6331,457,0,1
Adrin65338165,12,200,0,2
nachaguevara,248363,1257,0,1
datalat,2013,426,0,1
AmandaSuC,1463,204,0,2
tecnoslow,238,261,0,1
Nicolas_Hassim,13,121,0,1
Carolinaesne,468,976,0,1
los_ods,460,940,0,9
LicCarolinaGon1,21,75,0,1
CarlaAntonelli,31087,8645,0,1
HildanaAllegri,20,25,0,4
JuanaPaolaBI,6,27,1,0
ruschkja,209,685,0,1
Planeamientotuc,878,116,1,0
Askeruav,16,326,0,2
digtalento,42,76,1,0
Jeam_Gonzalez,46,175,1,0
JVLpez,5351,4942,1,2
ManuelNietoCol,195,424,0,3
ehuprest,236,154,1,0
CINUBogota,25379,318,0,2
Jorgeferre2,55,155,0,2
CapacitaRSE,19685,2169,21,0
cascanuecestuit,643,1817,1,0
nataliagri,458,742,0,1
CjovenMolina,50,130,0,1
PilarCorralesB,58,136,0,2
RaulDiciembre,71,218,0,1
CarlotaFrausti,438,1014,0,1
CaribeSalud,531,384,0,1
YBarahonaB,425,644,0,1
Nidiaesteva,532,1034,1,0
jterrades,4128,2934,1,0
MichaelGCastro,130,641,0,1
UMU,101285,12461,0,2
Sustainable2019,41,305,0,4
AndresLTrujillo,1889,1640,0,1
AIIColombia,58,245,1,0
fairtradecolomb,530,214,0,1
HANSDANIEL,1906,4104,0,1
IAPHpatrimonio,14760,3076,3,0
gomezgras,1242,109,3,1
almudena_reoyo,149,323,0,3
ColegioAlcaste,1260,79,1,1
mgb1106,4042,4606,0,1
MichMuschett,1892,544,1,0
kathd34,12,37,0,1
Athram0,672,1576,0,2
MoisesLodeiro,387,1040,0,1
Alianza_CAMMINA,857,143,0,1
mafg68,1149,1742,0,1
PiliCasals,167,304,0,1
Sumaksamya,384,302,1,1
jlillox,875,1855,0,1
WomenMChannel,359,1419,0,1
melgarejo_jessi,66,291,0,2
pj_ventura,67,94,0,2
adomon,1078,1984,1,0
AngelicaLuque4,12,31,0,1
BoliviaAustria,28,91,0,2
logfdz,24,82,1,0
CDEufv,612,650,0,2
JaisielMS,1268,1118,0,1
Fundacion_SERES,7100,1548,4,5
MercedesStorch,64,106,0,1
ocamposdavid,5932,1518,0,1
lauraranguren,228,740,0,1
Magdi09106498,8,50,0,1
asociacionMKT,5852,770,1,0
alexsandro_9991,18,70,0,1
Fuhemclick,657,682,1,0
BelindaGM2016,40,64,0,1
FundownCaribe,3245,1595,1,2
FLACMA_,2616,242,0,1
martincuri1910,524,392,0,2
ssantoscasas,459,2040,0,1
turismocoatza,175,593,0,1
PaulaMedinab,500,497,0,1
didefamilia,376,843,0,2
CruzRojaToledo,352,314,1,1
SmartCityES,6273,3408,0,1
DavidLantaron,514,564,0,2
MartaGRios,364,439,0,1
BorjaPino,305,815,2,0
FGBENIGNO,20,191,0,2
PlanClimaCity,9342,4112,0,2
DGEECpy,2201,686,9,1
ExterioresPsoeM,977,882,2,0
emartinest,452,738,1,2
hameed_nagham,279,430,0,1
OliHenman,2014,2955,0,1
VillaRealEstela,12175,1208,1,0
juliogysels,425,813,0,2
ramirojosetorre,1335,950,0,4
KLAUSGERMANPH,1423,1509,0,4
IAyalaSender,3425,2830,0,11
EvadelRuste,2400,1465,1,0
IbonManterola,321,263,0,1
diaynoche5,1950,5001,0,4
pasd1962,542,336,0,1
VeruskaHer,3757,4996,0,1
Iruizgimeneza,2563,1442,0,1
MSolSosaMicheli,83,211,0,1
MDDSI,256,157,0,1
Materbess1,67,219,0,1
robles21susy,13,7,0,1
Kirzahk,1172,687,1,0
masperomarcela,9461,1616,0,1
GobAbierto_MX,5040,738,1,0
juliuslaetus,1829,1312,0,2
Marianela90210,12,30,0,1
joancalabuig,5189,2070,0,3
NCCTalarrubias,633,975,0,1
CarmorVg,137,2490,0,2
SandraSiebertA,761,963,0,1
meylingbisogno,321,318,0,1
profefrans,236,227,0,1
redcomovamoscol,3347,606,1,1
RudoMxMx,1108,3796,0,1
RpkCoop,346,605,0,1
Pacolari67,372,400,0,3
AsocideEuskadi,166,43,0,1
SeguridadAMX,2420,4587,0,1
AguilarMaria21,493,1666,0,1
justnuu_,620,590,0,1
MerinoMara,1588,1675,0,4
PronaturaSur,1022,611,4,0
sociedad2050,407,1027,4,0
jcponline,2666,1899,0,1
criscaceresmoro,275,560,0,1
helenaguitart,213,536,1,1
DrMarkArellano,10626,2075,1,0
EOssoZ,849,62,0,1
mirenmateo,68,475,0,1
ProgresoMF,602,652,13,0
joseangelguio,122,600,0,8
asafintech,124,113,0,1
mnlzbl,1126,1150,0,1
LauraLpezRossi,15,185,0,1
CatedraUnescoJS,198,211,0,1
CuCamposR,670,501,0,1
carmelabarcia,108,217,0,2
Margalopez77,261,270,0,2
FCaparros,1009,744,2,1
PeltzerEugenia,175,496,0,2
FarahKhalidUn,166,366,0,1
MillerJesus,811,747,0,1
ecostas_smart,12,49,0,1
baumze,308,301,2,0
Anaid__87,182,88,1,1
Skillandotcom,615,66,0,1
FCulturadePaz,772,560,0,2
KarenCastilloMa,74,79,0,1
gifortet,660,452,0,1
PEalmeria2030,360,552,2,0
RM_Presidencia,1964,312,3,0
PnudColombia,70886,3122,12,3
ICMIFAmericas,479,253,0,1
EcUnidoGuayas,73,75,0,1
Toldosguardamar,223,654,0,1
AlexPulidoG,6231,3969,0,1
LUISOVERGEL,209,601,0,8
MandatosAlert,42,332,0,1
Gretwita,419,1458,0,1
AAIE_archiverxs,84,23,0,1
ONLBG_Spain,246,716,0,1
z3perez,1786,3288,0,1
r_estrada81,79,178,0,1
jvalbuenarod,1097,2517,0,1
SihureSS,142,1155,0,1
CentroSocialUMU,3761,982,0,2
reyesmjaimee,1256,677,0,1
DilbertoT,1046,2531,0,1
Ycalderin13,129,78,0,1
horaciomartino,184,298,1,0
Cook_Coaching,249,1006,0,1
MalagaEBC,354,509,0,3
javiergmart,154,363,0,1
YARJO,333,1655,0,3
EcologisticaSAS,1379,838,1,0
jonathandepina,269,443,0,1
Listefanyy,148,655,0,2
forgender,172,1078,0,2
ArielPerez117,291,1449,0,1
pi1068,366,579,0,1
TereTorresA,899,1331,0,1
ClaraDme,85,122,0,1
Knotion,1330,140,1,2
DircomGAL,1471,1227,3,1
fpt95826155,3,31,0,1
alejandro_ganan,536,458,0,4
RubielaBarnet,63,278,0,1
CTplasUy,119,73,1,0
Lkfpaez,1102,2876,0,1
QnJudith,65,201,2,0
ToscaniDaniel,658,872,0,6
DeSuministro,51,183,1,1
vroman91,48,64,0,1
MAsertivos,51,64,1,0
victor_ruiz,4171,3792,0,1
claraarpa,302,148,0,1
Julyweich,242912,212,0,1
verobgm,1095,815,1,0
CiudadJoven,478,393,1,1
Pao_HernandZ,253,277,0,1
Laverde8,102,292,0,1
JDanielPerezF,440,960,0,1
VIRAL_MX,13170,6114,0,2
yubiryge,589,431,0,1
aaronasenciofer,8779,842,0,1
EldigitalenSese,903,2853,0,2
ProoOmar,23,95,0,1
SusanajaraDITEC,30,64,0,1
PilarMarquesS,891,1079,0,1
valeteomnes,137,1067,0,3
GerdRuiz,137,688,0,1
BiblioAuzperri,648,936,0,1
manuel_rodb,48828,3959,0,5
Bichita6070,113,77,0,1
paulatena,819,2013,1,0
FrapaClaudia,19,47,0,1
Creart_VLL,1696,618,0,1
NCCMoraleja,274,301,0,1
CeciliaGuemes,2644,1898,2,0
silviaesteverev,66,522,0,1
kagtaz,145,536,0,1
AmbientalAnimal,921,1478,0,2
RagostF,375,604,0,2
Su_DeCuba,815,924,0,1
marianalaetitia,16,66,0,1
sebastianjavier,1957,2112,0,2
TMansoMayoral,241,282,0,1
AlexFrancoRdz,202,397,0,4
JuanArizaRuiz,225,369,4,0
DanielOrtiz86,1980,2151,0,1
23sata,63,190,0,1
AngelBulos,949,1062,0,1
marusuarezrp,4616,4582,0,1
anarealduro,150,146,0,2
AndresR_,2700,4138,1,1
fjmexposito,332,175,1,0
PoliticaPomona,6,9,0,1
PactoMundialMex,3512,869,5,1
Drvaliente,1382,450,0,1
muac_project,66,98,0,1
fonditel,988,64,0,1
CgcafeAaff,5214,2795,0,1
jmdmarkt,59,280,0,1
EmbCanGuatemala,3208,1034,2,0
jrramirezgomez,3009,392,0,1
Feique_Prensa,2759,841,3,0
robertojirusta,766,305,0,1
Murciasalud,6563,61,1,0
UNODC_MX,4823,387,1,0
EmbBoliviaDe,677,495,0,2
EccoFreight,281,893,0,1
estudioclinico,5707,3814,0,1
Daniel66646871,4,34,1,2
fermaincer,215,313,0,1
martha_barr,654,748,0,2
luchogarzon,139664,779,1,0
ondarural,1493,1544,0,4
lorylorypty,229,311,0,1
Julietamrc,1182,951,0,1
rcasta20011,113,179,1,0
20Marsol,18,153,0,1
CERMI_Na,2382,1011,1,2
redrunacional,6143,395,1,0
ppenalvera,5045,2971,2,1
AngelesHerasC,1861,198,2,1
NataSpurio,71,220,0,1
tonucho70,63,67,0,1
MariannyLedez1,5,103,0,2
frandonososilva,53,211,1,0
Serbargar,10,30,0,1
mouse4all,426,232,1,0
eticentre,359,401,0,3
jpascualruiz,328,302,0,1
sanchezgarcia_c,801,887,1,1
olivergleusteen,45,129,1,0
cmvconsulting,673,1073,0,1
ExploratorioU,10,29,2,0
pradpi,9755,7209,1,0
Mirestrepo,1704,1046,0,2
Marta37638877,67,150,0,2
SIPINNACdValles,17,77,2,0
RaquelSForetica,170,198,0,1
manekylozano,430,1784,0,1
mariskaschaap,326,307,0,1
mamaenlaradio,836,851,0,2
miljeveco,279,1331,0,1
DefensoriaPan,2213,160,0,1
jacoborocas,146,250,0,1
aibrah,1884,3241,0,1
wdaza,1976,4430,0,1
MuraPeralta,87,566,0,1
aconvida16,4888,3375,0,1
aguaseguraec,50,419,1,5
Pepenavarretetu,3570,5000,0,1
ajunielesaraujo,755,1916,0,1
lourdeslopezvi,696,1521,0,1
Juncaran,32,99,0,2
begoemejota,408,242,0,1
mjnodal,49,93,0,1
ongrescate,1639,696,1,0
PactoGlobalEcua,8624,590,6,1
agleon27,1316,2424,0,1
silvagomezla,32,226,0,1
zibersanti,2119,2374,0,5
julianjimenezr9,230,1252,0,1
eduardotab,219,587,0,1
IncubaTalento,121,44,1,0
paulofuer,23,209,0,1
AnaVict22146929,22,38,0,1
Fat67056990,1616,1801,0,1
Embamexru,13800,713,0,1
PatIrlanda,1021,2044,0,1
NLagroEspana,954,417,6,0
LourdesFeria,293,438,2,0
CGATEsp,2813,1714,0,1
Plouifasol4,286,1227,0,1
Meridalinda2,132,427,1,0
32alvarogarcia,13632,338,0,1
SoniaRoigGomez,1187,1349,1,6
IEmergDaVinci,296,224,0,1
cultumagnetica,59,643,1,0
licktoponso,20,97,0,1
EqHuellaCmontes,334,572,0,2
ColegioHerma,353,213,1,1
cecilia_buffa,20,37,1,0
UnileverPrensa,5551,370,0,1
CruzRojaProvTfe,9641,709,8,0
MmYoPuedo,82,158,1,0
CaroMachado13,305,411,0,1
mendonia69,322,948,0,1
SMECORAZ,249,308,0,1
FrancescCaball4,35,23,0,1
Majomeca,71,127,0,1
cadejaen,1064,318,0,1
IsabelStMalo,83293,1066,0,1
rtamayo137,655,747,1,0
pippahey,402,359,0,1
acacirense,1753,5001,0,1
lrifeliu,512,1132,0,1
JavierRoig3,59,105,0,1
RichardCardona2,13,94,0,2
fabiam62,342,98,0,1
Mlopezvi,290,395,0,2
rdelassalasm,194,613,0,1
relicatgamesva,137,243,0,2
aiiaoc,742,571,0,1
jfcarbel,982,993,0,1
institutomora,23336,816,0,1
GrupoEbro,652,826,1,0
datosgob,14036,2703,1,0
pinero_abogados,143,187,0,1
tabares489,155,184,0,1
ghustavh,355,713,0,1
fernandoredondo,1948,698,0,2
mubachfont,1007,2831,0,1
AtlasOaxaca,165,45,0,1
MoirMiguelangel,347,192,0,3
GildaBibiano,1342,2327,0,1
donramon76,233,43,0,3
bmgonzal,21,26,1,0
fer_eco,403,1066,0,1
CIRIEC_Esp,2016,982,0,9
CEIGRAM,2826,1620,0,2
MGG_2012,2678,4911,0,4
cuardiacm,92,207,0,2
CooperacionAND,1999,565,4,2
AstridHummel,1608,584,1,2
CamiloGranada,2569,827,0,1
duvides,841,984,0,1
oibescoop,172,83,1,0
JuanCamiloPare2,11,87,0,1
almu_hs,843,363,0,5
ConsortiumLG,576,458,1,0
ElisaFerrer1,378,336,0,2
Aebanca,860,414,1,1
FEAEeducacion,271,187,0,2
CMLbrinzal17,140,105,0,1
jdongil,75,208,0,2
UAM_Madrid,52719,893,1,0
LauraEstevezUSO,612,533,0,4
Ana_tapia2016,56,60,0,1
elena_lizarbe,49,84,0,1
EmbEspMex,6475,89,0,3
MiguelCornejoR,262,300,0,1
Desiderio2015,3504,3513,0,2
DHCAGUAKAN,3659,292,2,0
EmpresaPub,768,3772,0,1
cgrueiro,5,19,0,1
paconavarrete1,1120,2469,0,1
dopaga,89,147,0,1
D1men510n,93,314,0,1
OVJNU,1984,1319,0,1
Bhypatiaunizar,1651,1979,0,1
paulajuliageo,383,282,0,3
Maite_San,2104,2039,0,1
ComprasRD,20164,2437,2,0
GrupoRedesRSE,3,59,1,0
jaranper,418,734,0,1
ba_anderson,39528,2751,0,1
lgaidule,403,214,2,0
corpoinmemoriam,209,537,0,1
usortve,376,1289,0,2
SANTANACITMA,438,456,0,1
pablomartin78,1838,2782,1,1
Miguelrherrera,690,1829,0,3
marco_derecho,351,561,0,1
FernandoMoraga_,173,388,1,0
super_aids,841,920,0,1
EPSunizar,404,401,1,0
PlatoLleno,3182,288,0,1
RedAdelco,2209,2113,0,1
SDGChangemakers,2533,207,0,9
herasocmf,993,946,0,3
ChechuFalcon,925,474,0,2
carrillo_almu,559,552,0,1
javaca88,247,767,0,1
LEDenergySport,98,612,2,0
lizqcano,14,29,0,4
ticExtremadura,1331,523,2,0
LearnTeach4Life,449,281,0,1
Art24Inclusion,1407,169,1,0
EnriqueFSanto,580,1661,0,1
fdnc_es,2605,1601,0,1
ForoAstSost,1635,693,0,2
loremurdocca,187,486,0,1
Maestria_PGP,418,509,0,3
cojucoop,61,46,1,0
Fredy_EscobarD,706,710,0,1
parqUC3M,2658,1018,0,1
ATALinkata,3108,1393,0,1
selvinrivas76,1388,2424,1,0
URosario,61583,1119,0,1
Karla_EDZarco,307,281,0,1
pedro_vivancos,138,151,0,1
Perriwy,2460,2292,0,1
CommunityCmt,69,232,3,0
FedeArnau,88,166,0,1
ClubFySBierzo,259,1048,0,1
AmbientalistaC,687,333,0,1
BBK_Behatokia,384,926,1,0
ISOVERes,5956,872,2,0
Susanadleon,11092,975,0,1
AngelaAraya,1104,843,0,2
ComfamiliarRda,4597,410,0,2
jarateba,268,188,0,1
AngelicaSRamos,852,35,0,3
maite1espinosa,1142,1408,0,1
Danitzah,1195,1788,0,1
neoedui,1560,3442,0,1
macarenip,494,349,0,1
acercandonacion,1492,3571,0,1
anecuza_alonso,119,166,0,1
integrainnova_,81,823,0,1
pgonyan,642,824,1,0
MirtaGranda,417,67,1,1
IsenFormacion,106,211,3,0
ADELANTE_UE_ALC,495,249,0,3
PacoMSD,78,75,0,1
katyherreroruiz,268,323,0,3
Enriik_,425,619,0,1
josecisneros77,409,403,0,1
PROGRESANSICA,474,588,1,0
sos_children,1175,841,0,1
joaquingalvan,821,2216,0,2
borjaechega,283,314,0,1
marisol_pernia,141,812,0,2
Facvndo,2178,1380,1,0
PracticaOds,12,135,2,0
Futureco_BioSci,410,453,2,0
victorlunap,964,911,1,0
aidalopezcampo,112,766,0,2
evemvalerio,84,257,0,3
carlos_hidalgo1,352,307,1,1
Atzayaelh,3555,2057,0,1
gabrieldcuba,5344,5869,0,1
pablopascale,1933,804,0,1
ChileMujeresOrg,755,562,0,1
Leohernandez_,2147,1473,0,2
GobernanzadeTI,216,2,0,1
aurelioperez4,317,1564,0,1
invest_ewisely,42,121,1,0
zuannyc,41,376,0,1
LaNaveMadrid,3431,735,0,3
greenglobe,2240,1258,1,2
TinaNava,622,633,1,0
CARMENS59017311,39,22,0,1
NoellMichell,125,648,0,1
isanpico,753,1083,0,1
BitacoraT,262,611,0,1
LCharliac,28,287,1,0
biblioalmafuert,35,125,0,2
chlosada,89,214,0,2
Paulina48378256,48,528,0,2
agrispanje,457,209,0,2
seyla_meza,502,422,0,1
Agenda2030MX,5248,2670,8,0
La_Cuadra_Gijon,1783,3291,0,1
IntroAlovera,201,546,0,1
GonzaGimenez90,485,628,0,2
RicardoHumanaAs,371,1174,3,1
valenoquendod,44,270,0,1
pazfdevera,1991,786,0,1
SubGobHuelva,1525,436,0,1
T_Uriel,47,128,0,1
MagdaRaudales,49,64,0,4
jmollinedo,546,552,0,1
yemm2011,95,371,0,1
IEU_UN,2726,719,1,1
labajo_vic,227,143,0,1
OFrancoTorres,3709,274,0,2
rogarrone,3321,1496,0,1
omar6980,31,296,0,1
Carcelen3,1038,854,0,2
Hisalub,554,632,0,1
signusecovalor,8652,2092,0,1
Olinda79417226,47,192,0,1
chiarrello,1948,3552,0,1
EspacioOEI,64747,1258,1,0
LinitaGR,143,180,0,1
Cruzrojafuenla,274,80,1,0
Udalsarea2030,1164,723,0,1
erojotorrecilla,14956,13935,0,1
marlennevarez,122,346,0,2
CONFIEP,17250,812,0,1
drouvier,161,144,1,0
AllendeEdu,326,421,0,5
christian_8a_01,24,76,0,1
rosell_celia,1,25,0,1
rebecasevilla10,50,194,0,1
ElCogollitoOk,104,231,1,0
AdrinBorquez1,86,204,0,1
anaalonsophoto,192,269,0,1
GaboDiaz,505,658,0,1
ReDHFrontera,978,3067,0,1
AguasdelSorbe,941,364,0,1
GobernadoresAMX,3456,4436,0,1
CarlaLonGon,164,190,0,1
itdupm,2259,1344,8,16
arodrigomez,9,32,0,1
AgustiFdeLosada,613,219,0,1
ONUMujeresCol,20482,1701,0,1
rosemariecejas,15,194,0,1
